dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0.0,-16.23873641,3,205.809,0.001572687,0.000167498,-0.860912138,277.9264044,0.95713553,0.877611538
0.0,-13.89739467,3,308.746984,0.00864206,8.63e-05,-0.408131558,357.5688064,1.523575789,1.223499387
0.0,-19.38654291,3,155.344,0.002880739,8.16e-05,-1.275847637,290.5866858,1.951190404,1.927566443
0.0,-17.51280686,3,249.166,0.007462272,9.55e-05,-1.047935621,312.5578225,1.53177462,1.445533272
0.0,-5.764489798,3,366.22294,0.001122279,7.19e-06,-0.627163266,379.5455646,2.602952616,2.336091843
0.0,-18.09991198,3,150.708,0.007361524,0.000293152,-1.265303994,203.6073131,2.101134941,2.101048378
0.0,-13.16970322,3,182.83,0.000292272,8.22e-05,-0.319234407,263.8491449,1.438133977,1.438120058
0.0,-11.89587104,3,276.652,0.005718997,0.00010415,-0.291290345,291.5781077,0.859052315,0.8598281
0.0,-13.6831474,3,156.7068063,0.002250557,0.00131843,-2.151049135,301.3267134,1.658213781,1.641807212
0.0,-10.2256201,3,189.61,0.009529484,8.85e-05,-0.866540032,409.5511686,1.478733961,1.452781408
0.0,-9.208982622,3,278.518,0.000725121,1.63e-05,-0.660994207,435.4718803,1.322323052,1.270074159
0.0,-8.157238526,3,372.51894,0.001454222,1.34e-05,-0.381746175,471.2455181,1.341999555,1.093325475
0.0,-19.4408359,3,242.61,0.000920902,4.73e-05,-1.259611968,285.3291892,2.216286628,2.093426858
0.0,-17.50714478,3,336.432,0.006555932,4.83e-05,-1.011714926,308.2571019,1.786950036,1.684573609
0.0,-15.29620842,3,433.69,0.004019595,8.76e-05,-0.460069472,356.1190944,1.202503124,0.981204687
0.0,-8.299848266,3,238.5888063,0.005391883,0.001489903,-1.413616089,274.3292387,2.267612405,2.087521061
0.0,-6.326189645,3,271.492,0.001225355,6.46e-05,-0.623729882,311.2115711,2.518233419,2.467295193
0.0,-5.590154175,3,360.4,0.00662825,8.24e-05,-0.511718058,336.1295135,2.145020238,2.006352814
0.0,-4.89472077,3,454.40094,0.003706151,0.00016071,-0.351240257,385.4456244,1.850760049,1.540789842
0.0,-15.68335414,3,239.198,0.000439551,0.000175228,-0.558784713,225.1581512,1.128212148,1.125150306
0.0,-10.43514985,3,278.1,0.00443509,5.75e-05,-1.035383282,414.2471283,2.396153181,1.948845204
0.0,-9.415977674,3,367.008,0.001127295,2.37e-05,-0.828992558,438.1087766,2.151013547,1.671159814
0.0,-8.358515346,3,461.00894,0.006905656,4.91e-05,-0.547838449,476.1164057,1.972191977,1.305129155
0.0,-41.21635716,10,479.135524,0.00976006,0.000192341,-0.416435716,629.824617,1.887944329,1.88666015
0.0,-54.31051084,10,344.21934,0.00888365,5.82e-05,-0.979251084,652.2196578,0.830875527,0.826645135
0.0,-53.61022464,10,645.649612,0.009947174,5.86e-05,-0.254822464,643.4889179,0.961020155,0.918792385
0.0,-52.1658271,10,371.694324,0.007466749,8.32e-05,-0.24738271,543.63316,0.876378971,0.874500682
0.0,-36.96544836,10,666.533524,0.003024404,5.91e-05,-0.296944836,642.9205198,1.310640074,1.306645615
0.0,-36.63548007,10,760.601524,0.007166816,2.24e-05,-0.315348007,695.7746257,1.276751495,1.270873334
0.0,-58.26579515,10,611.287524,0.009931893,0.009641449,-0.805579515,696.5471701,0.87416892,0.861774829
0.0,-38.91626222,10,655.491524,0.004817967,0.000124141,-0.194826222,647.7354449,1.034237766,1.019446949
0.0,-32.50073031,10,1052.375524,0.006461711,3.32e-05,-0.068673031,806.6605604,0.824104811,0.812250994
0.0,-38.69522092,10,972.807524,0.007511083,4.13e-05,0.029677908,818.2430842,0.830833534,0.818983514
0.0,-46.63559123,10,399.567524,0.008108915,9.25e-05,-0.240559123,647.5928109,1.406771948,1.405706717
0.0,-42.24159317,10,681.033524,0.008845894,7.24e-05,-0.158159317,709.1236552,0.982539936,0.98389423
0.0,-43.90761436,10,483.943524,0.008555296,5.5e-05,-0.318361436,687.8489045,0.845285996,0.839293217
0.0,-46.46611371,10,491.727524,0.009197845,5.93e-05,-0.315611371,725.2502953,1.04768679,1.037882663
0.0,-41.50459845,10,779.293524,0.009162549,3.63e-05,-0.106459845,801.59817,1.079747989,0.975019944
0.0,-46.70661137,10,668.707524,0.007521373,6.73e-05,-0.399061137,745.8435208,1.542329458,1.483049997
0.0,-42.18392969,10,950.173524,0.003660541,5.05e-05,-0.303792969,808.8403934,1.172770391,1.003770632
0.0,-48.00182856,10,308.270601,0.008708553,0.000138872,-0.532782856,599.3766185,1.311772542,1.305212261
0.0,-57.81213671,10,356.190524,0.00953835,8.84e-05,-0.556613671,551.5678024,1.075855272,1.071122778
0.0,-41.70326836,10,385.067524,0.005701381,0.000116637,-0.413726836,576.3841243,2.086686076,2.086007016
0.0,-5.683398485,3,366.22294,0.00353481,5.11e-05,-0.600132828,298.6500506,2.487202648,2.135734719
0.0,-14.02600093,3,126.745,0.005835879,0.000514352,-0.471333644,175.0703835,0.844487021,0.843011295
0.0,-9.508109983,3,232.438,0.000687089,6.61e-05,-0.607369994,260.8969596,2.337036725,2.300947905
0.0,-8.553358358,3,326.43894,0.00265561,3.86e-05,-0.360452786,296.1298268,2.116417449,1.953958364
0.0,-5.533236702,3,360.4,0.007455326,0.000111716,-0.492745567,270.2560494,2.113420006,1.981668971
0.0,-6.346483397,3,271.492,0.006543481,0.000144427,-0.630494466,247.5508917,2.52218939,2.447333359
0.0,-4.68192405,3,454.40094,0.008125595,0.000111342,-0.280308017,308.1358062,1.512860095,1.199179091
0.0,-15.23327514,3,214.746044,0.001528673,3.92e-05,-0.782091714,236.1385521,1.589203609,1.476963133
0.0,-16.46669788,3,125.838044,0.005987586,5.11e-05,-1.059899293,210.1944084,1.806494397,1.79739278
0.0,-13.93215669,3,308.746984,0.009180483,9.6e-05,-0.419718897,270.9216863,1.193803191,0.877337074
0.0,-11.6364483,3,218.5014,0.009749562,0.0001225,-0.406482766,211.002139,0.874776757,0.874915726
0.0,-12.73957569,3,129.5934,0.005014561,4.5e-05,-0.640858563,186.8773449,1.219782018,1.218577209
0.0,-13.29795322,3,350.038,0.0045891,9.83e-05,0.354348928,222.4261804,1.187068151,1.15670486
0.0,-14.27348978,3,261.13,0.008798257,0.000192415,0.162503408,199.3528176,1.333887011,1.329898992
0.0,-12.83501288,3,444.03894,0.007364438,0.000100376,0.437329041,252.6022957,1.194723188,1.100271165
0.0,-9.822897865,3,367.008,0.002702992,1.12e-05,-0.964632622,319.5858727,2.713893035,2.004139519
0.0,-10.83169716,3,278.1,0.002295098,9.74e-05,-1.167565719,300.3827717,3.031914965,2.36657879
0.0,-8.792612897,3,461.00894,0.005577815,6.16e-05,-0.692537632,352.3454714,2.507397459,1.49944992
